,tsne-2d-one,tsne-2d-two
325,-31.402355,7.2203383
326,9.315101,-58.956028
327,64.6298,7.859022
328,-46.00944,33.01283
329,-49.507103,-40.28302
330,-47.54194,-32.41314
331,8.319626,-23.50161
332,-44.4593,-37.17403
333,16.481733,5.510041
334,19.618196,0.6090237
335,26.791338,6.765497
336,-9.628202,59.15869
337,-67.78577,43.417023
338,20.643978,39.513268
339,40.801483,-44.032635
340,24.887266,-3.563251
341,63.318947,-19.149887
342,-47.57668,-36.588593
343,37.825573,9.923857
344,15.2991495,24.5838
345,-51.07756,-37.144794
346,55.6514,-1.8572867
347,-23.160799,-4.5008206
348,-36.62252,-47.815895
349,1.2660823,31.995863
350,-64.652504,-30.305483
351,12.414187,24.001755
352,58.421967,22.415945
353,52.370342,-35.08327
354,-14.600639,-61.850277
355,-8.141406,-5.124987
356,4.2695904,-4.980068
357,-44.096714,-30.356058
358,-19.752811,65.40083
359,-16.206009,40.3155
360,2.3418667,59.064087
361,64.98616,-35.449028
362,-56.474537,61.66284
363,8.815699,-44.81209
364,11.333896,22.622952
365,56.618465,-0.41326267
366,63.503006,-35.30228
367,19.994171,39.820755
368,49.1512,-42.638977
369,21.592386,1.5185671
370,-45.212357,60.595978
371,-6.895333,-31.171654
372,62.809418,22.947824
373,0.9216264,22.07765
374,2.5107696,19.671293
375,-28.086124,-1.1990966
376,-21.048618,47.29185
377,-34.391804,-32.668964
378,-42.80923,-33.30092
379,-13.617752,54.361164
380,79.37706,-12.825202
381,-49.934017,68.42951
382,25.142664,16.880762
383,-61.40284,42.24771
384,46.258736,-63.629375
385,-40.32871,-35.5258
386,45.15836,-37.229362
387,-4.6910872,-44.848537
388,-18.950539,-56.6477
389,-46.845795,49.425003
390,-13.438912,-37.857903
391,-8.270347,9.334845
392,55.93953,-50.989273
393,-34.280056,-32.65276
394,-31.043701,34.55352
395,20.284956,21.11891
396,14.3160715,-46.732685
397,18.078045,21.626999
398,-13.308397,55.258556
399,-4.824066,44.476994
400,24.310078,-29.42614
401,0.9134204,6.44962
402,37.703293,36.632942
403,-7.902118,20.77901
404,-3.600978,-30.022955
405,0.5860775,59.8614
406,45.133415,17.160744
407,57.369804,15.871544
408,35.806065,7.4226255
409,-53.405613,-32.728092
410,-49.701588,63.63256
411,-48.11257,22.093967
412,22.07743,14.247546
413,-62.17853,49.35561
414,-22.415537,57.370728
415,-50.830853,53.54178
416,-43.678493,-38.625393
417,-49.02681,47.571297
418,14.570571,-36.781605
419,-49.281807,-29.560429
420,-26.40195,7.8924646
421,20.760263,-28.388687
422,-29.379519,50.16095
423,12.510968,-25.514908
424,62.800304,14.813365
425,-24.73985,-28.656002
426,-43.586704,25.768263
427,-51.99784,-30.768034
428,-22.350338,22.99206
429,-0.75666034,18.399445
430,-36.1219,-46.8238
431,17.854189,39.814262
432,-18.536474,48.145416
433,-37.86325,-12.955599
434,-28.983753,46.36805
435,1.6347536,1.3580902
436,-8.918184,7.371995
437,29.393303,35.11731
438,-62.027657,39.553288
439,39.903206,-46.42491
440,68.748405,14.95847
441,57.221268,5.2159657
442,26.998446,17.854279
443,12.190362,6.4973702
444,-11.550964,-7.3675675
445,87.51202,-3.7707055
446,44.70107,-39.868225
447,-32.87518,21.332167
448,-4.566845,0.1653942
449,37.90864,37.212883
450,20.467213,-1.9784888
